,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
180,31,1,3,140,2,12,1,4,1,246,3,1,95,3,1,7,4,2,3929,6984,8,1,2,23,4,3,80,1,7,0,3,4,2,0,2
181,34,1,3,629,2,27,2,4,1,247,4,1,95,3,1,7,2,3,2311,5711,2,1,1,15,3,4,80,0,9,3,3,3,2,1,2
182,41,2,3,1356,3,20,2,3,1,248,2,1,70,3,1,9,2,3,3140,21728,1,1,2,22,4,4,80,0,4,5,2,4,3,0,2
183,50,1,3,328,2,1,3,4,1,249,3,2,86,2,1,3,3,2,3690,3425,2,1,1,15,3,4,80,1,5,2,2,3,2,0,2
184,53,1,3,1084,2,13,2,4,1,250,4,1,57,4,2,5,1,1,4450,26250,1,1,1,11,3,3,80,2,5,3,3,4,2,1,3
185,33,1,3,931,2,14,3,4,1,252,4,1,72,3,1,7,2,2,2756,4673,1,1,1,13,3,4,80,1,8,5,3,8,7,1,6
186,40,1,3,989,2,4,1,4,1,253,4,1,46,3,5,4,3,2,19033,6499,1,1,1,14,3,2,80,1,21,2,3,20,8,9,9
187,55,1,3,692,2,14,4,4,1,254,3,2,61,4,5,6,2,3,18722,13339,8,1,1,11,3,4,80,0,36,3,3,24,15,2,15
188,34,1,2,1069,2,2,1,2,1,256,4,2,45,2,2,5,3,2,9547,14074,1,1,1,17,3,3,80,0,10,2,2,10,9,1,9
189,51,1,3,313,2,3,3,4,1,258,4,1,98,3,4,1,2,3,13734,7192,3,1,1,18,3,3,80,0,21,6,3,7,7,1,0
190,52,1,3,699,2,1,4,2,1,259,3,2,65,2,5,4,3,2,19999,5678,0,1,1,14,3,1,80,1,34,5,3,33,18,11,9
191,27,1,3,894,2,9,3,4,1,260,4,1,99,3,1,7,2,3,2279,11781,1,1,1,16,3,4,80,0,7,2,2,7,7,0,3
192,35,2,3,556,2,23,2,2,1,261,2,2,50,2,2,5,3,2,5916,15497,3,1,2,13,3,1,80,0,8,1,3,1,0,0,1
193,43,1,1,1344,2,7,3,4,1,262,4,2,37,4,1,7,4,1,2089,5228,4,1,1,14,3,4,80,3,7,3,4,5,4,2,2
194,45,1,1,1195,2,2,2,4,1,264,1,2,65,2,4,4,4,2,16792,20462,9,1,1,23,4,4,80,1,22,1,3,20,8,11,8
195,37,1,3,290,2,21,3,2,1,267,2,2,65,4,1,7,1,2,3564,22977,1,1,2,12,3,1,80,1,8,3,2,8,7,1,7
196,35,1,2,138,2,2,3,4,1,269,2,1,37,3,2,3,2,3,4425,15986,5,1,1,11,3,4,80,0,10,5,3,6,2,1,2
197,42,1,1,926,2,21,2,4,1,270,3,1,36,3,2,5,3,1,5265,16439,2,1,1,16,3,2,80,1,11,5,3,5,3,0,2
198,38,1,3,1261,2,2,4,2,1,271,4,2,88,3,2,5,3,2,6553,7259,9,1,1,14,3,2,80,0,14,3,3,1,0,0,0
199,38,1,3,1084,2,29,3,6,1,273,4,2,54,3,2,5,4,2,6261,4185,3,1,1,18,3,1,80,1,9,3,1,7,7,1,7
200,27,1,2,472,2,1,1,6,1,274,3,2,60,2,2,5,1,2,4298,9679,5,1,1,19,3,3,80,1,6,1,3,2,2,2,0
201,49,1,1,1002,2,18,4,2,1,275,4,2,92,3,2,5,4,1,6804,23793,1,1,2,15,3,1,80,2,7,0,3,7,7,1,7
202,34,1,2,878,2,10,4,4,1,277,4,2,43,3,1,7,3,1,3815,5972,1,1,2,17,3,4,80,1,5,4,4,5,3,2,0
203,40,1,3,905,2,19,2,4,1,281,3,2,99,3,2,3,4,2,2741,16523,8,1,2,15,3,3,80,1,15,2,4,7,2,3,7
204,38,2,3,1180,2,29,1,4,1,282,2,2,70,3,2,1,1,2,6673,11354,7,1,2,19,3,2,80,0,17,2,3,1,0,0,0
205,29,2,3,121,3,27,3,3,1,283,2,1,35,3,3,8,4,2,7639,24525,1,1,1,22,4,4,80,3,10,3,2,10,4,1,9
206,22,1,3,1136,2,5,3,2,1,284,4,2,60,4,1,7,2,1,2328,12392,1,1,2,16,3,1,80,1,4,2,2,4,2,2,2
207,36,1,2,635,2,18,1,4,1,286,2,1,73,3,1,3,4,3,2153,7703,1,1,1,13,3,1,80,0,8,2,3,8,1,1,7
208,40,1,1,1151,2,9,5,2,1,287,4,2,63,2,2,1,4,2,4876,14242,9,1,1,14,3,4,80,1,5,5,1,3,2,0,2
209,46,1,3,644,2,1,4,4,1,288,4,2,97,3,3,1,1,1,9396,12368,7,1,1,16,3,3,80,1,17,3,3,4,2,0,3
210,32,2,3,1045,3,4,4,4,1,291,4,2,32,1,3,8,4,2,10400,25812,1,1,1,11,3,3,80,0,14,2,2,14,8,9,8
211,30,1,1,829,2,1,1,2,1,292,3,2,88,2,3,5,3,3,8474,20925,1,1,1,22,4,3,80,0,12,2,3,11,8,5,8
212,27,1,2,1242,3,20,3,2,1,293,4,1,90,3,2,8,3,3,9981,12916,1,1,1,14,3,4,80,0,7,2,3,7,7,0,7
213,51,1,3,1469,2,8,4,2,1,296,2,2,81,2,3,6,2,2,12490,15736,5,1,1,16,3,4,80,2,16,5,1,10,9,4,7
214,30,2,3,1005,2,3,3,6,1,297,4,1,88,3,1,7,1,3,2657,8556,5,1,2,11,3,3,80,0,8,5,3,5,2,0,4
215,41,1,3,896,3,6,3,2,1,298,4,1,75,3,3,4,4,3,13591,14674,3,1,2,18,3,3,80,0,16,3,3,1,0,0,0
216,30,2,2,334,3,26,4,3,1,299,3,1,52,2,2,8,1,3,6696,22967,5,1,1,15,3,3,80,0,9,5,2,6,3,0,1
217,29,2,3,992,2,1,3,6,1,300,3,2,85,3,1,7,3,3,2058,19757,0,1,1,14,3,4,80,0,7,1,2,6,2,1,5
218,45,1,1,1052,3,6,3,4,1,302,4,1,57,2,3,8,4,3,8865,16840,6,1,1,12,3,4,80,0,23,2,3,19,7,12,8
219,54,1,3,1147,3,3,3,3,1,303,4,1,52,3,2,8,1,2,5940,17011,2,1,1,14,3,4,80,1,16,4,3,6,2,0,5
220,36,1,3,1396,2,5,2,2,1,304,4,2,62,3,2,3,2,3,5914,9945,8,1,1,16,3,4,80,0,16,3,4,13,11,3,7
221,33,1,3,147,2,4,4,4,1,305,3,1,47,2,1,7,2,2,2622,13248,6,1,1,21,4,4,80,0,7,3,3,3,2,1,1
222,37,1,2,663,2,11,3,5,1,306,2,2,47,3,3,6,4,1,12185,10056,1,1,2,14,3,3,80,3,10,1,3,10,8,0,7
223,38,1,3,119,3,3,3,2,1,307,1,2,76,3,3,8,3,1,10609,9647,0,1,1,12,3,3,80,2,17,6,2,16,10,5,13
224,31,1,1,979,2,1,4,4,1,308,3,2,90,1,2,5,3,2,4345,4381,0,1,1,12,3,4,80,1,6,2,3,5,4,1,4
225,59,1,3,142,2,3,3,2,1,309,3,2,70,2,1,7,4,2,2177,8456,3,1,1,17,3,1,80,1,7,6,3,1,0,0,0
226,37,1,2,319,3,4,4,3,1,311,1,2,41,3,1,9,4,1,2793,2539,4,1,1,17,3,3,80,1,13,2,3,9,8,5,8
227,29,1,2,1413,3,1,1,4,1,312,2,1,42,3,3,8,4,2,7918,6599,1,1,1,14,3,4,80,1,11,5,3,11,10,4,1
228,35,1,2,944,3,1,3,3,1,314,3,1,92,3,3,8,3,3,8789,9096,1,1,1,14,3,1,80,0,10,3,4,10,7,0,8
229,29,2,3,896,2,18,1,4,1,315,3,2,86,2,1,7,4,3,2389,14961,1,1,2,13,3,3,80,0,4,3,2,4,3,0,1
230,52,1,3,1323,2,2,3,2,1,316,3,1,89,2,1,3,4,3,3212,3300,7,1,1,15,3,2,80,0,6,3,2,2,2,2,2
231,42,1,3,532,2,4,2,6,1,319,3,2,58,3,5,4,4,2,19232,4933,1,1,1,11,3,4,80,0,22,3,3,22,17,11,15
232,59,1,3,818,1,6,2,4,1,321,2,2,52,3,1,2,3,2,2267,25657,8,1,1,17,3,4,80,0,7,2,2,2,2,2,2
233,50,1,3,854,3,1,4,4,1,323,4,1,68,3,5,4,4,1,19517,24118,3,1,1,11,3,3,80,1,32,3,2,7,0,0,6
234,33,2,3,813,2,14,3,4,1,325,3,2,58,3,1,3,4,2,2436,22149,5,1,2,13,3,3,80,1,8,2,1,5,4,0,4
235,43,1,3,1034,3,16,3,3,1,327,4,1,80,3,4,4,4,2,16064,7744,5,1,2,22,4,3,80,1,22,3,3,17,13,1,9
236,33,2,3,465,2,2,2,2,1,328,1,1,39,3,1,3,1,2,2707,21509,7,1,1,20,4,1,80,0,13,3,4,9,7,1,7
237,52,1,1,771,3,2,4,2,1,329,1,2,79,2,5,4,3,3,19068,21030,1,1,2,18,3,4,80,0,33,2,4,33,7,15,12
238,32,1,3,1401,3,4,2,2,1,330,3,1,56,3,1,9,2,2,3931,20990,2,1,1,11,3,1,80,1,6,5,3,4,3,1,2
239,32,2,3,515,2,1,3,2,1,331,4,2,62,2,1,3,3,3,3730,9571,0,1,2,14,3,4,80,0,4,2,1,3,2,1,2
240,39,1,3,1431,2,1,4,4,1,332,3,1,96,3,1,3,3,1,2232,15417,7,1,1,14,3,3,80,3,7,1,3,3,2,1,2
241,32,1,1,976,3,26,4,3,1,333,3,2,100,3,2,8,4,2,4465,12069,0,1,1,18,3,1,80,0,4,2,3,3,2,2,2
242,41,1,3,1411,2,19,2,2,1,334,3,2,36,3,2,7,1,1,3072,19877,2,1,1,16,3,1,80,2,17,2,2,1,0,0,0
243,40,1,3,1300,2,24,2,6,1,335,1,2,62,3,2,7,4,1,3319,24447,1,1,1,17,3,1,80,2,9,3,3,9,8,4,7
244,45,1,3,252,2,1,3,5,1,336,3,2,70,4,5,4,4,2,19202,15970,0,1,1,11,3,3,80,1,25,2,3,24,0,1,7
245,31,1,2,1327,2,3,4,4,1,337,2,2,73,3,3,6,3,1,13675,13523,9,1,1,12,3,1,80,1,9,3,3,2,2,2,2
246,33,1,3,832,2,5,4,2,1,338,3,1,63,2,1,7,4,2,2911,14776,1,1,1,13,3,3,80,1,2,2,2,2,2,0,2
247,34,1,3,470,2,2,4,2,1,339,4,2,84,2,2,5,1,2,5957,23687,6,1,1,13,3,2,80,1,13,3,3,11,9,5,9
248,37,1,3,1017,2,1,2,4,1,340,3,1,83,2,1,7,1,2,3920,18697,2,1,1,14,3,1,80,1,17,2,2,3,1,0,2
249,45,1,2,1199,2,7,4,2,1,341,1,2,77,4,2,5,3,2,6434,5118,4,1,1,17,3,4,80,1,9,1,3,3,2,0,2
250,37,2,2,504,2,10,3,4,1,342,1,2,61,3,3,5,3,1,10048,22573,6,1,1,11,3,2,80,2,17,5,3,1,0,0,0
251,39,1,2,505,2,2,4,6,1,343,3,1,64,3,3,1,3,3,10938,6420,0,1,1,25,4,4,80,0,20,1,3,19,6,11,8
252,29,1,3,665,2,15,3,2,1,346,3,2,60,3,1,7,4,3,2340,22673,1,1,1,19,3,1,80,0,6,1,3,6,5,1,5
253,42,1,3,916,2,17,2,2,1,347,4,1,82,4,2,7,1,3,6545,23016,3,1,2,13,3,3,80,0,10,1,3,3,2,0,2
254,29,1,3,1247,3,20,2,3,1,349,4,2,45,3,2,8,4,1,6931,10732,2,1,1,14,3,4,80,1,10,2,3,3,2,0,2
255,25,1,3,685,2,1,3,2,1,350,1,1,62,3,2,5,3,2,4898,7505,0,1,1,12,3,4,80,2,5,3,3,4,2,1,2
256,42,1,3,269,2,2,3,4,1,351,4,1,56,2,1,3,1,1,2593,8007,0,1,2,11,3,3,80,1,10,4,3,9,6,7,8
257,40,1,3,1416,2,2,2,4,1,352,1,2,49,3,5,6,3,1,19436,5949,0,1,1,19,3,4,80,1,22,5,3,21,7,3,9
258,51,1,3,833,2,1,3,2,1,353,3,2,96,3,1,7,4,2,2723,23231,1,1,1,11,3,2,80,0,1,0,2,1,0,0,0
259,31,2,2,307,2,29,2,4,1,355,3,2,71,2,1,3,2,3,3479,11652,0,1,1,11,3,2,80,0,6,2,4,5,4,1,4
260,32,1,2,1311,2,7,3,2,1,359,2,2,100,4,1,3,2,2,2794,26062,1,1,1,20,4,3,80,0,5,3,1,5,1,0,3
261,38,1,1,1327,3,2,2,2,1,361,4,2,39,2,2,8,4,2,5249,19682,3,1,1,18,3,4,80,1,13,0,3,8,7,7,5
262,32,1,3,128,2,2,1,6,1,362,4,2,84,2,2,3,1,3,2176,19737,4,1,1,13,3,4,80,0,9,5,3,6,2,0,4
263,46,1,3,488,3,2,3,6,1,363,3,1,75,1,4,4,2,2,16872,14977,3,1,2,12,3,2,80,1,28,2,2,7,7,7,7
264,28,2,3,529,2,2,4,2,1,364,1,2,79,3,1,3,3,3,3485,14935,2,1,1,11,3,3,80,0,5,5,1,0,0,0,0
265,29,1,3,1210,3,2,3,4,1,366,1,2,78,2,2,8,2,2,6644,3687,2,1,1,19,3,2,80,2,10,2,3,0,0,0,0
266,31,1,3,1463,2,23,3,4,1,367,2,2,64,2,2,1,4,2,5582,14408,0,1,1,21,4,2,80,1,10,2,3,9,0,7,8
267,25,1,1,675,2,5,2,2,1,369,2,2,85,4,2,1,1,1,4000,18384,1,1,1,12,3,4,80,2,6,2,3,6,3,1,5
268,45,1,3,1385,2,20,2,4,1,372,3,2,79,3,4,1,4,2,13496,7501,0,1,2,14,3,2,80,0,21,2,3,20,7,4,10
269,36,1,3,1403,2,6,3,2,1,373,4,2,47,3,1,3,4,2,3210,20251,0,1,1,11,3,3,80,1,16,4,3,15,13,10,11
270,55,1,3,452,2,1,3,4,1,374,4,2,81,3,5,4,1,3,19045,18938,0,1,2,14,3,3,80,0,37,2,3,36,10,4,13
271,47,2,1,666,2,29,4,2,1,376,1,2,88,3,3,4,2,2,11849,10268,1,1,2,12,3,4,80,1,10,2,2,10,7,9,9
272,28,1,3,1158,2,9,3,4,1,377,4,2,94,3,1,7,4,2,2070,2613,1,1,1,23,4,4,80,1,5,3,2,5,2,0,4
273,37,1,3,228,3,6,4,4,1,378,3,2,98,3,2,8,4,2,6502,22825,4,1,1,14,3,2,80,1,7,5,4,5,4,0,1
274,21,1,3,996,2,3,2,4,1,379,4,2,100,2,1,7,3,3,3230,10531,1,1,1,17,3,1,80,0,3,4,4,3,2,1,0
275,37,1,1,728,2,1,4,4,1,380,1,1,80,3,3,6,4,1,13603,11677,2,1,2,18,3,1,80,2,15,2,3,5,2,0,2
276,35,1,3,1315,2,22,3,2,1,381,2,1,71,4,3,4,2,1,11996,19100,7,1,1,18,3,2,80,1,10,6,2,7,7,6,2
277,38,1,3,322,3,7,2,4,1,382,1,1,44,4,2,8,1,1,5605,19191,1,1,2,24,4,3,80,1,8,3,3,8,0,7,7
278,26,1,2,1479,2,1,3,2,1,384,3,1,84,3,2,5,2,1,6397,26767,1,1,1,20,4,1,80,1,6,6,1,6,5,1,4
279,50,1,3,797,2,4,1,2,1,385,1,2,96,3,5,6,2,1,19144,15815,3,1,1,14,3,1,80,2,28,4,2,10,4,1,6
280,53,1,3,1070,2,3,4,4,1,386,3,2,45,3,4,6,3,2,17584,21016,3,1,2,16,3,4,80,3,21,5,2,5,3,1,3
281,42,1,3,635,3,1,1,2,1,387,2,2,99,3,2,8,3,2,4907,24532,1,1,1,25,4,3,80,0,20,3,3,20,16,11,6
282,29,1,2,442,3,2,2,2,1,388,2,2,44,3,2,8,4,3,4554,20260,1,1,1,18,3,1,80,0,10,3,2,10,7,0,9
283,55,1,3,147,2,20,2,6,1,389,2,2,37,3,2,3,4,2,5415,15972,3,1,2,19,3,4,80,1,12,4,3,10,7,0,8
284,26,1,2,496,2,11,2,4,1,390,1,2,60,3,2,1,1,2,4741,22722,1,1,2,13,3,3,80,1,5,3,3,5,3,3,3
285,37,1,3,1372,2,1,3,2,1,391,4,1,42,3,1,7,4,3,2115,15881,1,1,1,12,3,2,80,0,17,3,3,17,12,5,7
286,44,2,2,920,2,24,3,2,1,392,4,2,43,3,1,3,3,1,3161,19920,3,1,2,22,4,4,80,1,19,0,1,1,0,0,0
287,38,1,3,688,2,23,4,2,1,393,4,2,82,3,2,1,4,1,5745,18899,9,1,1,14,3,2,80,1,10,2,3,2,2,1,2
288,26,2,3,1449,2,16,4,4,1,394,1,2,45,3,1,3,2,1,2373,14180,2,1,2,13,3,4,80,1,5,2,3,3,2,0,2
289,28,1,3,1117,2,8,2,2,1,395,4,1,66,3,1,7,4,3,3310,4488,1,1,1,21,4,4,80,0,5,3,3,5,3,0,2
290,49,1,2,636,2,10,4,2,1,396,3,1,35,3,5,6,1,3,18665,25594,9,1,2,11,3,4,80,0,22,4,3,3,2,1,2
291,36,1,3,506,2,3,3,6,1,397,3,2,30,3,2,7,2,3,4485,26285,4,1,1,12,3,4,80,0,10,2,3,8,0,7,7
292,31,1,2,444,3,5,3,3,1,399,4,1,84,3,1,9,2,1,2789,3909,1,1,1,11,3,3,80,1,2,5,2,2,2,2,2
293,26,2,3,950,3,4,4,3,1,401,4,2,48,2,2,8,4,3,5828,8450,1,1,2,12,3,2,80,0,8,0,3,8,7,7,4
294,37,1,2,889,2,9,3,4,1,403,2,2,53,3,1,7,4,2,2326,11411,1,1,2,12,3,3,80,3,4,3,2,4,2,1,2
295,42,1,2,555,3,26,3,3,1,404,3,1,77,3,4,8,2,2,13525,14864,5,1,1,14,3,4,80,1,23,2,4,20,4,4,8
296,18,2,3,230,2,3,3,2,1,405,3,2,54,3,1,3,3,3,1420,25233,1,1,1,13,3,3,80,0,0,2,3,0,0,0,0
297,35,1,3,1232,3,16,3,3,1,406,3,2,96,3,3,8,2,2,8020,5100,0,1,1,15,3,3,80,2,12,3,2,11,9,6,9
298,36,1,2,566,2,18,4,2,1,407,3,2,81,4,1,3,4,2,3688,7122,4,1,1,18,3,4,80,2,4,2,3,1,0,0,0
299,51,1,3,1302,2,2,3,4,1,408,4,2,84,1,2,5,2,1,5482,16321,5,1,1,18,3,4,80,1,13,3,3,4,1,1,2
300,41,1,3,334,3,2,4,2,1,410,4,2,88,3,4,4,2,3,16015,15896,1,1,1,19,3,2,80,0,22,2,3,22,10,0,4
301,18,1,3,812,3,10,3,4,1,411,4,1,69,2,1,9,3,3,1200,9724,1,1,1,12,3,1,80,0,0,2,3,0,0,0,0
302,28,1,3,1476,2,16,2,4,1,412,2,2,68,4,2,1,1,3,5661,4824,0,1,1,19,3,3,80,0,9,2,3,8,3,0,7
303,31,1,3,218,3,7,3,6,1,416,2,2,100,4,2,8,4,2,6929,12241,4,1,1,11,3,2,80,1,10,3,2,8,7,7,7
304,39,1,3,1132,2,1,3,4,1,417,3,2,48,4,3,1,4,1,9613,10942,0,1,1,17,3,1,80,3,19,5,2,18,10,3,7
305,36,1,1,1105,2,24,4,2,1,419,2,1,47,3,2,3,2,2,5674,6927,7,1,1,15,3,3,80,1,11,3,3,9,8,0,8
306,32,1,3,906,3,7,3,2,1,420,4,2,91,2,2,8,3,2,5484,16985,1,1,1,14,3,3,80,1,13,3,2,13,8,4,8
307,38,1,3,849,2,25,2,2,1,421,1,1,81,2,3,6,2,2,12061,26707,3,1,1,17,3,3,80,1,19,2,3,10,8,0,1
308,58,1,1,390,2,1,4,2,1,422,4,2,32,1,2,1,3,1,5660,17056,2,1,2,13,3,4,80,1,12,2,3,5,3,1,2
309,31,1,3,691,2,5,4,6,1,423,3,2,86,3,1,7,4,2,4821,10077,0,1,2,12,3,3,80,1,6,4,3,5,2,0,3
310,31,1,3,106,1,2,3,1,1,424,1,2,62,2,2,2,1,2,6410,17822,3,1,1,12,3,4,80,0,9,1,3,2,2,1,0
311,45,1,2,1249,2,7,3,2,1,425,1,2,97,3,3,3,1,1,5210,20308,1,1,1,18,3,1,80,1,24,2,3,24,9,9,11
312,31,1,3,192,2,2,4,2,1,426,3,2,32,3,1,7,4,1,2695,7747,0,1,2,18,3,2,80,1,3,2,1,2,2,2,2
313,33,1,2,553,2,5,4,2,1,428,4,1,74,3,3,4,2,2,11878,23364,6,1,1,11,3,2,80,2,12,2,3,10,6,8,8
314,39,1,3,117,2,10,1,4,1,429,3,2,99,3,4,4,1,2,17068,5355,1,1,2,14,3,4,80,0,21,3,3,21,9,11,10
315,43,1,2,185,2,10,4,2,1,430,3,1,33,3,1,3,4,3,2455,10675,0,1,1,19,3,1,80,0,9,5,3,8,7,1,7
316,49,1,3,1091,2,1,2,6,1,431,3,1,90,2,4,1,3,3,13964,17810,7,1,2,12,3,4,80,0,25,2,3,7,1,0,7
317,52,2,3,723,2,8,4,4,1,433,3,2,85,2,2,7,2,2,4941,17747,2,1,1,15,3,1,80,0,11,3,2,8,2,7,7
318,27,1,3,1220,2,5,3,2,1,434,3,1,85,3,1,7,2,3,2478,20938,1,1,2,12,3,2,80,0,4,2,2,4,3,1,2
319,32,1,3,588,3,8,2,6,1,436,3,1,65,2,2,8,2,2,5228,24624,1,1,2,11,3,4,80,0,13,2,3,13,12,11,9
320,27,1,3,1377,3,2,3,2,1,437,4,2,74,3,2,8,3,3,4478,5242,1,1,2,11,3,1,80,0,5,3,3,5,4,0,4
321,31,1,3,691,3,7,3,3,1,438,4,2,73,3,2,8,4,1,7547,7143,4,1,1,12,3,4,80,3,13,3,3,7,7,1,7
322,32,1,3,1018,2,2,4,4,1,439,1,1,74,4,2,7,4,3,5055,10557,7,1,1,16,3,3,80,0,10,0,2,7,7,0,7
323,28,2,3,1157,2,2,4,4,1,440,1,2,84,1,1,7,4,2,3464,24737,5,1,2,13,3,4,80,0,5,4,2,3,2,2,2
324,30,1,3,1275,2,28,2,4,1,441,4,1,64,3,2,7,4,2,5775,11934,1,1,1,13,3,4,80,2,11,2,3,10,8,1,9
325,31,1,2,798,2,7,2,2,1,442,3,1,48,2,3,5,3,2,8943,14034,1,1,1,24,4,1,80,1,10,2,3,10,9,8,9
326,39,1,2,672,2,7,2,4,1,444,3,2,54,2,5,4,4,2,19272,21141,1,1,1,15,3,1,80,1,21,2,3,21,9,13,3
327,39,2,3,1162,3,3,2,4,1,445,4,1,41,3,2,8,3,2,5238,17778,4,1,2,18,3,1,80,0,12,3,2,1,0,0,0
328,33,1,2,508,3,10,3,3,1,446,2,2,46,2,2,8,4,3,4682,4317,3,1,1,14,3,3,80,0,9,6,2,7,7,0,1
329,47,1,3,1482,2,5,5,2,1,447,4,2,42,3,5,6,3,2,18300,16375,4,1,1,11,3,2,80,1,21,2,3,3,2,1,1
330,43,1,2,559,2,10,4,2,1,448,3,1,82,2,2,3,3,1,5257,6227,1,1,1,11,3,2,80,1,9,3,4,9,7,0,0
331,27,1,1,210,3,1,1,3,1,449,3,2,73,3,2,8,2,2,6349,22107,0,1,2,13,3,4,80,1,6,0,3,5,4,1,4
332,54,1,2,928,2,20,4,2,1,450,4,1,31,3,2,7,3,3,4869,16885,3,1,1,12,3,4,80,0,20,4,2,4,3,0,3
333,43,1,3,1001,2,7,3,2,1,451,3,1,43,3,3,1,1,2,9985,9262,8,1,1,16,3,1,80,1,10,1,2,1,0,0,0
334,45,1,3,549,2,8,4,5,1,452,4,2,75,3,2,7,4,2,3697,9278,9,1,1,14,3,1,80,2,12,3,3,10,9,9,8
335,40,1,3,1124,3,1,2,4,1,453,2,2,57,1,2,8,4,2,7457,13273,2,1,2,22,4,3,80,3,6,2,2,4,3,0,2
336,29,2,3,318,2,8,4,5,1,454,2,2,77,1,1,3,1,2,2119,4759,1,1,2,11,3,4,80,0,7,4,2,7,7,0,7
337,29,1,3,738,2,9,5,5,1,455,2,2,30,2,1,3,4,3,3983,7621,0,1,1,17,3,3,80,0,4,2,3,3,2,2,2
338,30,1,3,570,3,5,3,3,1,456,4,1,30,2,2,8,3,1,6118,5431,1,1,1,13,3,3,80,3,10,2,3,10,9,1,2
339,27,1,3,1130,3,8,4,3,1,458,2,1,56,3,2,8,2,2,6214,3415,1,1,1,18,3,1,80,1,8,3,3,8,7,0,7
340,37,1,3,1192,2,5,2,4,1,460,4,2,61,3,2,5,4,1,6347,23177,7,1,1,16,3,3,80,2,8,2,2,6,2,0,4
341,38,1,3,343,2,15,2,2,1,461,3,2,92,2,3,6,4,1,11510,15682,0,1,2,14,3,2,80,1,12,3,3,11,10,2,9
342,31,1,3,1232,2,7,4,4,1,462,3,1,39,3,3,5,4,3,7143,25713,1,1,2,14,3,3,80,0,11,2,2,11,9,4,10
343,29,1,3,144,3,10,1,3,1,463,4,1,39,2,2,8,2,1,8268,11866,1,1,2,14,3,1,80,2,7,2,3,7,7,1,7
344,35,1,3,1296,2,5,4,6,1,464,3,2,62,3,3,5,2,3,8095,18264,0,1,1,13,3,4,80,0,17,5,3,16,6,0,13
345,23,1,3,1309,2,26,1,2,1,465,3,2,83,3,1,7,4,1,2904,16092,1,1,1,12,3,3,80,2,4,2,2,4,2,0,2
346,41,1,3,483,2,6,3,4,1,466,4,2,95,2,2,5,2,3,6032,10110,6,1,2,15,3,4,80,0,8,3,3,5,4,1,2
347,47,1,2,1309,3,4,1,4,1,467,2,2,99,3,2,9,3,3,2976,25751,3,1,1,19,3,1,80,0,5,3,3,0,0,0,0
348,42,1,3,810,2,23,5,2,1,468,1,1,44,3,4,6,4,3,15992,15901,2,1,1,14,3,2,80,0,16,2,3,1,0,0,0
349,29,1,1,746,3,2,3,2,1,469,4,2,61,3,2,8,3,2,4649,16928,1,1,1,14,3,1,80,1,4,3,2,4,3,0,2
350,42,1,3,544,1,2,1,6,1,470,3,2,52,3,1,2,3,1,2696,24017,0,1,2,11,3,3,80,1,4,5,3,3,2,1,0
351,32,1,3,1062,2,2,3,4,1,471,3,1,75,3,1,3,2,2,2370,3956,1,1,1,13,3,3,80,1,8,4,3,8,0,0,7
352,48,1,3,530,3,29,1,4,1,473,1,1,91,3,3,4,3,2,12504,23978,3,1,1,21,4,2,80,1,15,3,1,0,0,0,0
353,37,1,3,1319,2,6,3,4,1,474,3,2,51,4,2,7,1,1,5974,17001,4,1,2,13,3,1,80,2,13,2,3,7,7,6,7
354,30,1,1,641,3,25,2,6,1,475,4,1,85,3,2,8,3,2,4736,6069,7,1,2,12,3,2,80,1,4,2,4,2,2,2,2
355,26,1,3,933,3,1,3,2,1,476,3,2,57,3,2,8,3,2,5296,20156,1,1,1,17,3,2,80,1,8,3,3,8,7,7,7
356,42,1,3,1332,2,2,4,5,1,477,1,2,98,2,2,1,4,3,6781,17078,3,1,1,23,4,2,80,0,14,6,3,1,0,0,0
357,21,2,2,756,3,1,1,6,1,478,1,1,99,2,1,9,2,3,2174,9150,1,1,2,11,3,3,80,0,3,3,3,3,2,1,2
358,36,1,1,845,3,1,5,4,1,479,4,1,45,3,2,8,4,3,6653,15276,4,1,1,15,3,2,80,0,7,6,3,1,0,0,0
359,36,1,2,541,3,3,4,4,1,481,1,2,48,2,3,8,4,2,9699,7246,4,1,1,11,3,1,80,1,16,2,3,13,9,1,12
360,57,1,3,593,2,1,4,4,1,482,4,2,88,3,2,1,3,2,6755,2967,2,1,1,11,3,3,80,0,15,2,3,3,2,1,2
361,40,1,3,1171,2,10,4,2,1,483,4,1,46,4,1,3,3,2,2213,22495,3,1,2,13,3,3,80,1,10,3,3,7,7,1,7
362,21,1,1,895,3,9,2,4,1,484,1,2,39,3,1,9,4,3,2610,2851,1,1,1,24,4,3,80,0,3,3,2,3,2,2,2
363,33,2,3,350,3,5,3,3,1,485,4,1,34,3,1,9,3,3,2851,9150,1,1,2,13,3,2,80,0,1,2,3,1,0,0,0
